STATEFP,COUNTYFP,POSTALCODE,COUNTY,MEDIAN_INCOME
08,003,CO,Alamosa County,"42,897.00"
08,005,CO,Arapahoe County,"76,665.00"
08,007,CO,Archuleta County,"53,337.00"
08,009,CO,Baca County,"38,294.00"
08,011,CO,Bent County,"37,659.00"
08,013,CO,Boulder County,"83,591.00"
08,014,CO,Broomfield County,"96,924.00"
08,015,CO,Chaffee County,"56,168.00"
08,017,CO,Cheyenne County,"54,504.00"
08,019,CO,Clear Creek County,"74,019.00"
08,021,CO,Conejos County,"38,777.00"
08,023,CO,Costilla County,"31,557.00"
08,025,CO,Crowley County,"35,880.00"
08,027,CO,Custer County,"55,242.00"
08,029,CO,Delta County,"46,786.00"
08,031,CO,Denver County,"68,069.00"
08,033,CO,Dolores County,"47,482.00"
08,035,CO,Douglas County,"120,670.00"
08,037,CO,Eagle County,"86,896.00"
08,039,CO,Elbert County,"98,247.00"
08,041,CO,El Paso County,"67,923.00"
08,043,CO,Fremont County,"47,885.00"
08,045,CO,Garfield County,"74,421.00"
08,047,CO,Gilpin County,"72,949.00"
08,049,CO,Grand County,"69,214.00"
08,051,CO,Gunnison County,"61,268.00"
08,053,CO,Hinsdale County,"62,149.00"
08,055,CO,Huerfano County,"38,242.00"
08,057,CO,Jackson County,"51,457.00"
08,059,CO,Jefferson County,"85,550.00"
08,061,CO,Kiowa County,"44,704.00"
08,063,CO,Kit Carson County,"48,342.00"
08,065,CO,Lake County,"51,802.00"
08,067,CO,La Plata County,"66,219.00"
08,069,CO,Larimer County,"71,306.00"
08,071,CO,Las Animas County,"41,485.00"
08,073,CO,Lincoln County,"46,690.00"
08,075,CO,Logan County,"53,168.00"
08,077,CO,Mesa County,"51,132.00"
08,079,CO,Mineral County,"60,210.00"
08,081,CO,Moffat County,"59,500.00"
08,083,CO,Montezuma County,"50,180.00"
08,085,CO,Montrose County,"52,576.00"
08,087,CO,Morgan County,"55,387.00"
08,089,CO,Otero County,"40,064.00"
08,091,CO,Ouray County,"68,900.00"
08,093,CO,Park County,"72,121.00"
08,095,CO,Phillips County,"52,367.00"
08,097,CO,Pitkin County,"89,034.00"
08,099,CO,Prowers County,"42,455.00"
08,101,CO,Pueblo County,"48,308.00"
08,103,CO,Rio Blanco County,"63,411.00"
08,105,CO,Rio Grande County,"44,171.00"
08,107,CO,Routt County,"81,033.00"
08,109,CO,Saguache County,"36,869.00"
08,111,CO,San Juan County,"46,878.00"
08,113,CO,San Miguel County,"69,458.00"
08,115,CO,Sedgwick County,"40,009.00"
08,117,CO,Summit County,"80,078.00"
08,119,CO,Teller County,"64,850.00"
08,121,CO,Washington County,"47,869.00"
08,123,CO,Weld County,"75,629.00"
08,125,CO,Yuma County,"53,253.00"
09,000,CT,Connecticut,"76,366.00"
09,001,CT,Fairfield County,"91,183.00"
09,003,CT,Hartford County,"73,037.00"
09,005,CT,Litchfield County,"76,304.00"
09,007,CT,Middlesex County,"88,709.00"
09,009,CT,New Haven County,"67,720.00"
09,011,CT,New London County,"67,790.00"
09,013,CT,Tolland County,"89,584.00"
09,015,CT,Windham County,"65,182.00"
10,000,DE,Delaware,"65,467.00"
10,001,DE,Kent County,"54,980.00"
10,003,DE,New Castle County,"69,562.00"
10,005,DE,Sussex County,"59,821.00"
11,000,DC,District of Columbia,"82,533.00"
11,001,DC,District of Columbia,"82,533.00"
12,000,FL,Florida,"55,433.00"
12,001,FL,Alachua County,"51,026.00"
12,003,FL,Baker County,"52,804.00"
12,005,FL,Bay County,"51,777.00"
12,007,FL,Bradford County,"45,075.00"
12,009,FL,Brevard County,"57,612.00"
12,011,FL,Broward County,"57,200.00"
12,013,FL,Calhoun County,"38,323.00"
12,015,FL,Charlotte County,"52,724.00"
12,017,FL,Citrus County,"41,556.00"
12,019,FL,Clay County,"62,835.00"
12,021,FL,Collier County,"70,649.00"
12,023,FL,Columbia County,"46,195.00"
12,027,FL,DeSoto County,"37,233.00"
12,029,FL,Dixie County,"37,148.00"
12,031,FL,Duval County,"55,733.00"
12,033,FL,Escambia County,"50,644.00"
12,035,FL,Flagler County,"58,975.00"
12,037,FL,Franklin County,"40,297.00"
12,039,FL,Gadsden County,"42,259.00"
12,041,FL,Gilchrist County,"42,186.00"
12,043,FL,Glades County,"38,680.00"
12,045,FL,Gulf County,"45,426.00"
12,047,FL,Hamilton County,"36,299.00"
12,049,FL,Hardee County,"39,169.00"
12,051,FL,Hendry County,"44,391.00"
12,053,FL,Hernando County,"45,884.00"
12,055,FL,Highlands County,"39,994.00"
12,057,FL,Hillsborough County,"58,361.00"
12,059,FL,Holmes County,"38,040.00"
12,061,FL,Indian River County,"58,228.00"
12,063,FL,Jackson County,"39,545.00"
12,065,FL,Jefferson County,"46,332.00"
12,067,FL,Lafayette County,"42,689.00"
12,069,FL,Lake County,"52,447.00"
12,071,FL,Lee County,"56,343.00"
12,073,FL,Leon County,"51,046.00"
12,075,FL,Levy County,"39,037.00"
12,077,FL,Liberty County,"40,814.00"
12,079,FL,Madison County,"38,249.00"
12,081,FL,Manatee County,"59,587.00"
12,083,FL,Marion County,"44,517.00"
12,085,FL,Martin County,"61,592.00"
12,086,FL,Miami-Dade County,"52,043.00"
12,087,FL,Monroe County,"67,094.00"
12,089,FL,Nassau County,"66,898.00"
12,091,FL,Okaloosa County,"62,779.00"
12,093,FL,Okeechobee County,"42,258.00"
12,095,FL,Orange County,"58,037.00"
12,097,FL,Osceola County,"50,473.00"
12,099,FL,Palm Beach County,"61,735.00"
12,101,FL,Pasco County,"53,788.00"
12,103,FL,Pinellas County,"52,226.00"
12,105,FL,Polk County,"51,354.00"
12,107,FL,Putnam County,"39,578.00"
12,109,FL,St. Johns County,"81,925.00"
12,111,FL,St. Lucie County,"53,377.00"
12,113,FL,Santa Rosa County,"69,541.00"
12,115,FL,Sarasota County,"61,652.00"
12,117,FL,Seminole County,"67,187.00"
12,119,FL,Sumter County,"55,324.00"
12,121,FL,Suwannee County,"38,525.00"
12,123,FL,Taylor County,"42,307.00"
12,125,FL,Union County,"45,906.00"
12,127,FL,Volusia County,"50,285.00"
12,129,FL,Wakulla County,"58,203.00"
12,131,FL,Walton County,"60,973.00"
12,133,FL,Washington County,"39,225.00"
13,000,GA,Georgia,"58,634.00"
13,001,GA,Appling County,"42,781.00"
13,003,GA,Atkinson County,"36,779.00"
13,005,GA,Bacon County,"38,775.00"
13,007,GA,Baker County,"38,288.00"
13,009,GA,Baldwin County,"42,727.00"
13,011,GA,Banks County,"55,384.00"
13,013,GA,Barrow County,"61,413.00"
13,015,GA,Bartow County,"57,409.00"
13,017,GA,Ben Hill County,"35,020.00"
13,019,GA,Berrien County,"39,412.00"
13,021,GA,Bibb County,"41,390.00"
13,023,GA,Bleckley County,"46,019.00"
13,025,GA,Brantley County,"41,874.00"
13,027,GA,Brooks County,"36,354.00"
13,029,GA,Bryan County,"79,658.00"
13,031,GA,Bulloch County,"43,766.00"
13,033,GA,Burke County,"42,785.00"
13,035,GA,Butts County,"48,831.00"
13,037,GA,Calhoun County,"33,393.00"
13,039,GA,Camden County,"56,555.00"
13,043,GA,Candler County,"35,841.00"
13,045,GA,Carroll County,"52,502.00"
13,047,GA,Catoosa County,"55,807.00"
13,049,GA,Charlton County,"40,499.00"
13,051,GA,Chatham County,"54,165.00"
13,053,GA,Chattahoochee County,"46,869.00"
13,055,GA,Chattooga County,"39,513.00"
13,057,GA,Cherokee County,"82,733.00"
13,059,GA,Clarke County,"42,112.00"
13,061,GA,Clay County,"30,239.00"
13,063,GA,Clayton County,"46,059.00"
13,065,GA,Clinch County,"37,593.00"
13,067,GA,Cobb County,"78,603.00"
13,069,GA,Coffee County,"39,480.00"
13,071,GA,Colquitt County,"38,633.00"
13,073,GA,Columbia County,"82,184.00"
13,075,GA,Cook County,"38,827.00"
13,077,GA,Coweta County,"70,974.00"
13,079,GA,Crawford County,"48,004.00"
13,081,GA,Crisp County,"36,096.00"
13,083,GA,Dade County,"48,779.00"
13,085,GA,Dawson County,"68,835.00"
13,087,GA,Decatur County,"38,441.00"
13,089,GA,DeKalb County,"63,477.00"
13,091,GA,Dodge County,"35,636.00"
13,093,GA,Dooly County,"37,278.00"
13,095,GA,Dougherty County,"38,806.00"
13,097,GA,Douglas County,"60,512.00"
13,099,GA,Early County,"34,984.00"
13,101,GA,Echols County,"38,667.00"
13,103,GA,Effingham County,"65,793.00"
13,105,GA,Elbert County,"39,681.00"
13,107,GA,Emanuel County,"37,574.00"
13,109,GA,Evans County,"37,319.00"
13,111,GA,Fannin County,"43,439.00"
13,113,GA,Fayette County,"95,021.00"
13,115,GA,Floyd County,"44,906.00"
13,117,GA,Forsyth County,"105,921.00"
13,119,GA,Franklin County,"42,904.00"
13,121,GA,Fulton County,"70,808.00"
13,123,GA,Gilmer County,"47,757.00"
13,125,GA,Glascock County,"42,820.00"
13,127,GA,Glynn County,"53,906.00"
13,129,GA,Gordon County,"49,101.00"
13,131,GA,Grady County,"41,002.00"
13,133,GA,Greene County,"54,016.00"
13,135,GA,Gwinnett County,"72,008.00"
13,137,GA,Habersham County,"51,829.00"
13,139,GA,Hall County,"61,631.00"
13,141,GA,Hancock County,"31,716.00"
13,143,GA,Haralson County,"47,662.00"
13,145,GA,Harris County,"74,686.00"
13,147,GA,Hart County,"47,171.00"
13,149,GA,Heard County,"46,218.00"
13,151,GA,Henry County,"72,970.00"
13,153,GA,Houston County,"60,728.00"
13,155,GA,Irwin County,"38,156.00"
13,157,GA,Jackson County,"68,984.00"
13,159,GA,Jasper County,"51,241.00"
13,161,GA,Jeff Davis County,"37,211.00"
13,163,GA,Jefferson County,"38,274.00"
13,165,GA,Jenkins County,"31,419.00"
13,167,GA,Johnson County,"34,849.00"
13,169,GA,Jones County,"55,737.00"
13,171,GA,Lamar County,"48,323.00"
13,173,GA,Lanier County,"41,564.00"
13,175,GA,Laurens County,"42,114.00"
13,177,GA,Lee County,"66,090.00"
13,179,GA,Liberty County,"47,685.00"
13,181,GA,Lincoln County,"46,967.00"
13,183,GA,Long County,"46,428.00"
13,185,GA,Lowndes County,"41,820.00"
13,187,GA,Lumpkin County,"55,583.00"
13,189,GA,McDuffie County,"42,768.00"
13,191,GA,McIntosh County,"42,513.00"
13,193,GA,Macon County,"32,868.00"
13,195,GA,Madison County,"51,338.00"
13,197,GA,Marion County,"39,114.00"
13,199,GA,Meriwether County,"38,886.00"
13,201,GA,Miller County,"42,483.00"
13,205,GA,Mitchell County,"36,788.00"
13,207,GA,Monroe County,"59,362.00"
13,209,GA,Montgomery County,"41,834.00"
13,211,GA,Morgan County,"57,978.00"
13,213,GA,Murray County,"46,810.00"
13,215,GA,Muscogee County,"46,628.00"
13,217,GA,Newton County,"56,598.00"
13,219,GA,Oconee County,"99,497.00"
13,221,GA,Oglethorpe County,"51,105.00"
13,223,GA,Paulding County,"73,309.00"
13,225,GA,Peach County,"46,525.00"
13,227,GA,Pickens County,"65,062.00"
13,229,GA,Pierce County,"44,389.00"
13,231,GA,Pike County,"66,901.00"
13,233,GA,Polk County,"43,679.00"
13,235,GA,Pulaski County,"40,582.00"
13,237,GA,Putnam County,"51,205.00"
13,239,GA,Quitman County,"33,908.00"
13,241,GA,Rabun County,"44,213.00"
13,243,GA,Randolph County,"28,298.00"
13,245,GA,Richmond County,"40,168.00"
13,247,GA,Rockdale County,"59,673.00"
13,249,GA,Schley County,"45,378.00"
13,251,GA,Screven County,"39,048.00"
13,253,GA,Seminole County,"36,869.00"
13,255,GA,Spalding County,"43,510.00"
13,257,GA,Stephens County,"45,850.00"
13,259,GA,Stewart County,"33,053.00"
13,261,GA,Sumter County,"37,562.00"
13,263,GA,Talbot County,"37,265.00"
13,265,GA,Taliaferro County,"34,090.00"
13,267,GA,Tattnall County,"41,440.00"
13,269,GA,Taylor County,"36,310.00"
13,271,GA,Telfair County,"34,297.00"
13,273,GA,Terrell County,"35,290.00"
13,275,GA,Thomas County,"41,642.00"
13,277,GA,Tift County,"45,680.00"
13,279,GA,Toombs County,"37,148.00"
13,281,GA,Towns County,"45,853.00"
13,283,GA,Treutlen County,"35,069.00"
13,285,GA,Troup County,"45,234.00"
13,287,GA,Turner County,"33,261.00"
13,289,GA,Twiggs County,"42,054.00"
13,291,GA,Union County,"45,943.00"
13,293,GA,Upson County,"40,965.00"
13,295,GA,Walker County,"43,767.00"
13,297,GA,Walton County,"65,416.00"
13,299,GA,Ware County,"38,357.00"
13,301,GA,Warren County,"38,352.00"
13,303,GA,Washington County,"39,444.00"
13,305,GA,Wayne County,"44,607.00"
13,307,GA,Webster County,"38,187.00"
13,309,GA,Wheeler County,"32,691.00"
13,311,GA,White County,"51,579.00"
13,313,GA,Whitfield County,"47,074.00"
13,315,GA,Wilcox County,"35,961.00"
13,317,GA,Wilkes County,"39,361.00"
13,319,GA,Wilkinson County,"41,036.00"
13,321,GA,Worth County,"48,708.00"
15,000,HI,Hawaii,"80,527.00"
15,001,HI,Hawaii County,"56,383.00"
15,003,HI,Honolulu County,"83,695.00"
15,005,HI,Kalawao County,.
15,007,HI,Kauai County,"73,981.00"
15,009,HI,Maui County,"78,503.00"
16,000,ID,Idaho,"55,524.00"
16,001,ID,Ada County,"66,827.00"
16,003,ID,Adams County,"45,311.00"
16,005,ID,Bannock County,"51,300.00"
16,007,ID,Bear Lake County,"53,780.00"
16,009,ID,Benewah County,"48,451.00"
16,011,ID,Bingham County,"50,941.00"
16,013,ID,Blaine County,"76,113.00"
16,015,ID,Boise County,"56,837.00"
16,017,ID,Bonner County,"51,373.00"
16,019,ID,Bonneville County,"60,444.00"
16,021,ID,Boundary County,"47,118.00"
16,023,ID,Butte County,"50,050.00"
16,025,ID,Camas County,"53,866.00"
16,027,ID,Canyon County,"53,381.00"
16,029,ID,Caribou County,"61,219.00"
16,031,ID,Cassia County,"51,804.00"
16,033,ID,Clark County,"48,471.00"
16,035,ID,Clearwater County,"46,417.00"
16,037,ID,Custer County,"47,682.00"
16,039,ID,Elmore County,"49,344.00"
16,041,ID,Franklin County,"58,170.00"
16,043,ID,Fremont County,"51,155.00"
16,045,ID,Gem County,"49,857.00"
16,047,ID,Gooding County,"51,302.00"
16,049,ID,Idaho County,"40,569.00"
16,051,ID,Jefferson County,"61,927.00"
16,053,ID,Jerome County,"54,020.00"
16,055,ID,Kootenai County,"56,188.00"
16,057,ID,Latah County,"49,538.00"
16,059,ID,Lemhi County,"44,248.00"
16,061,ID,Lewis County,"44,911.00"
16,063,ID,Lincoln County,"50,464.00"
16,065,ID,Madison County,"41,827.00"
16,067,ID,Minidoka County,"53,447.00"
16,069,ID,Nez Perce County,"54,476.00"
16,071,ID,Oneida County,"52,602.00"
16,073,ID,Owyhee County,"48,192.00"
16,075,ID,Payette County,"51,835.00"
16,077,ID,Power County,"51,921.00"
16,079,ID,Shoshone County,"36,085.00"
16,081,ID,Teton County,"68,749.00"
16,083,ID,Twin Falls County,"51,594.00"
16,085,ID,Valley County,"60,285.00"
16,087,ID,Washington County,"43,402.00"
17,000,IL,Illinois,"65,063.00"
17,001,IL,Adams County,"55,174.00"
17,003,IL,Alexander County,"35,249.00"
17,005,IL,Bond County,"54,800.00"
17,007,IL,Boone County,"74,507.00"
17,009,IL,Brown County,"55,327.00"
17,011,IL,Bureau County,"56,099.00"
17,013,IL,Calhoun County,"56,099.00"
17,015,IL,Carroll County,"51,963.00"
17,017,IL,Cass County,"52,486.00"
17,019,IL,Champaign County,"53,251.00"
17,021,IL,Christian County,"52,936.00"
17,023,IL,Clark County,"54,092.00"
17,025,IL,Clay County,"45,427.00"
17,027,IL,Clinton County,"66,597.00"
17,029,IL,Coles County,"47,291.00"
17,031,IL,Cook County,"63,347.00"
17,033,IL,Crawford County,"52,313.00"
17,035,IL,Cumberland County,"60,572.00"
17,037,IL,DeKalb County,"63,274.00"
17,039,IL,De Witt County,"55,300.00"
17,041,IL,Douglas County,"56,976.00"
17,043,IL,DuPage County,"93,540.00"
17,045,IL,Edgar County,"51,577.00"
17,047,IL,Edwards County,"51,280.00"
17,049,IL,Effingham County,"60,773.00"
17,051,IL,Fayette County,"47,484.00"
17,053,IL,Ford County,"55,357.00"
17,055,IL,Franklin County,"42,071.00"
17,057,IL,Fulton County,"51,258.00"
17,059,IL,Gallatin County,"43,330.00"
17,061,IL,Greene County,"47,314.00"
17,063,IL,Grundy County,"79,348.00"
17,065,IL,Hamilton County,"53,028.00"
17,067,IL,Hancock County,"53,553.00"
17,069,IL,Hardin County,"41,713.00"
17,071,IL,Henderson County,"53,632.00"
17,073,IL,Henry County,"58,042.00"
17,075,IL,Iroquois County,"55,247.00"
17,077,IL,Jackson County,"41,445.00"
17,079,IL,Jasper County,"54,552.00"
17,081,IL,Jefferson County,"47,425.00"
17,083,IL,Jersey County,"59,117.00"
17,085,IL,Jo Daviess County,"56,832.00"
17,087,IL,Johnson County,"53,884.00"
